,station_name,station_latitude,station_longitude,fsq_id,poi_name,poi_id,poi_category,poi_distance
3816,Morton & Denman,49.28803,-123.142135,4ad008e2f964a5205fd720e3,Delany's Coffee House,13035,Coffee Shop,124
3817,Morton & Denman,49.28803,-123.142135,597418f115173e2ac2644b47,Hook Seabar,13338,Seafood Restaurant,101
3818,Morton & Denman,49.28803,-123.142135,4afa7953f964a520ec1722e3,The Calling Public House,13003,Bar,101
3819,Morton & Denman,49.28803,-123.142135,4aa75933f964a520bf4c20e3,Banana Leaf,13072,Asian Restaurant,147
3820,Morton & Denman,49.28803,-123.142135,4d3a00006de7721eed15ea49,Cactus Club Cafe,13068,American Restaurant,149
3821,Morton & Denman,49.28803,-123.142135,5f03a449620ed061bb7493b8,Vonns,13031,Burger Joint,72
3822,Morton & Denman,49.28803,-123.142135,503930c5e4b05a7a7146be85,Zeitoon Restaurant,13302,Mediterranean Restaurant,109
3823,Morton & Denman,49.28803,-123.142135,5e2e693517ff6400083267ca,Beeryani Indian Bistro and Bar,13199,Indian Restaurant,86
3824,Morton & Denman,49.28803,-123.142135,602dd2158f3fbb0da5b579a5,The Loft on Denman,13097,Caribbean Restaurant,86
3825,Morton & Denman,49.28803,-123.142135,5bc42e0bda5ede002cc5c121,The Cake Club,13040,Dessert Shop,88
3826,Morton & Denman,49.28803,-123.142135,4abfcaf5f964a5203c9220e3,Legendary Noodle House,13099,Chinese Restaurant,179
3827,Morton & Denman,49.28803,-123.142135,4be8674c947820a1a3dcb4db,Falafel King Restaurant,13144,Falafel Restaurant,139
3828,Morton & Denman,49.28803,-123.142135,4fa9855fd5fbb674a8873b8a,The Park at English Bay,13018,Pub,139
3829,Morton & Denman,49.28803,-123.142135,4b66044ff964a520a40e2be3,Akira Sushi,13276,Sushi Restaurant,156
3830,Morton & Denman,49.28803,-123.142135,54d57947498e2290e6924560,Che-licious,13379,Vietnamese Restaurant,110
3831,Morton & Denman,49.28803,-123.142135,4e98e72d55033ea8ab83cddd,Ginger Garlic Cuisine of India,13199,Indian Restaurant,182
3832,Morton & Denman,49.28803,-123.142135,5d8d70cb9103f600080aa56b,Big Bang Sushi,13276,Sushi Restaurant,120
3833,Morton & Denman,49.28803,-123.142135,633648bf5102e614a125765e,The Frying Pan,13055,Fried Chicken Joint,125
3834,Morton & Denman,49.28803,-123.142135,5e5b1a0db4f5730008fea2e6,Café Portrait,13000,Dining and Drinking,126
3835,Morton & Denman,49.28803,-123.142135,60b2d8cbc694b97103cb8a0c,Pigot’s Burger Club,13031,Burger Joint,136
3836,Morton & Denman,49.28803,-123.142135,4aada3cff964a5201d6120e3,Nat's Pizzeria,13064,Pizzeria,165
3837,Morton & Denman,49.28803,-123.142135,531f860e498e932bf3c1ecfb,JJ Bean Coffee Roasters,13035,Coffee Shop,238
3838,Morton & Denman,49.28803,-123.142135,4b197914f964a520f8dd23e3,Red Umbrella Cafe,13034,Café,233
3839,Morton & Denman,49.28803,-123.142135,4fc53493e4b00f7de6e74716,The Park,13057,Gastropub,147
3840,Morton & Denman,49.28803,-123.142135,5e645a0e0b66dc00082892ac,Ofra's Kitchen,13309,Middle Eastern Restaurant,157
3841,Morton & Denman,49.28803,-123.142135,552499b1498e8396bd7082d2,Kitaya,13276,Sushi Restaurant,158
3842,Morton & Denman,49.28803,-123.142135,5b4e9037c9a517002cd3753d,Nat's New York Pizzaria,13064,Pizzeria,165
3843,Morton & Denman,49.28803,-123.142135,6258854dbf92f7404dc513e0,Thios,13177,Greek Restaurant,165
3844,Morton & Denman,49.28803,-123.142135,5b65160ac03635002c2ce08c,Shizenya on Denman,13276,Sushi Restaurant,169
3845,Morton & Denman,49.28803,-123.142135,4feb9860e4b0cb016233ea14,Concession by Cactus Club Café,13382,Snack Place,173
3846,Morton & Denman,49.28803,-123.142135,5fdebd5fcf5851777258981b,Mumu Kitchen,13055,Fried Chicken Joint,180
3847,Morton & Denman,49.28803,-123.142135,5653e329498e22f9d5e35dac,Grotto,10000,Arts and Entertainment,185
3848,Morton & Denman,49.28803,-123.142135,5810e16338fa28f23150d994,3 Quarters Full,13002,Bakery,224
3849,Morton & Denman,49.28803,-123.142135,4b5537e1f964a52003df27e3,Yummy to Go,13276,Sushi Restaurant,208
3850,Morton & Denman,49.28803,-123.142135,61d8d24a4c189458e3452cb2,Kesari Kitchen,13199,Indian Restaurant,214
3851,Morton & Denman,49.28803,-123.142135,5f78f71dee61ef117f87314d,Sushi Aboard,13276,Sushi Restaurant,216
