,avg_poi_rating,avg_poi_review_count,avg_poi_price,avg_poi_distance,avg_poi_popularity,poi_popularity_sum,id,latitude,longitude,name,total_slots
45,3.5,59.13333333333333,1.7333333333333334,166.0452735640162,214.93333333333334,3224.0,8c9ea7f2132376859ef34fab981d6932,49.276436,-123.11877,Nelson & Mainland,20
46,4.166666666666667,60.5,1.5,164.37538673159986,234.08333333333334,1404.5,1d4153659a0a0a2089078c739df6737d,49.277844,-123.120942,Nelson & Richards,18
47,3.857142857142857,96.42857142857143,1.8571428571428572,180.98822399730952,367.7857142857143,2574.5,fbb4c06b719596c21f91fd51ef6d4710,49.265089,-123.119425,7th & Heather,18
48,3.6842105263157894,112.94736842105263,1.736842105263158,141.456540426471,423.63157894736844,8049.0,72c1049dfbbde7c24ec45c14f1a5ee85,49.28026,-123.135244,Harwood & Bute,20
49,3.65,131.25,1.7,127.81106505221888,481.625,9632.5,00fa94ad698dc4a9e4d708d6fd32f294,49.291909,-123.140713,Chilco & Barclay,18
50,4.1,436.65,2.05,166.89813749769675,1780.225,35604.5,efa947b901a2cf85b58320b3ad26a2fe,49.293257,-123.138563,Chilco & Robson,16
51,4.0,77.33333333333333,1.6666666666666667,214.26527485754545,300.3333333333333,1802.0,66a53e9c32e4f5c724f9478240020142,49.288011,-123.132006,Nicola & Robson,18
52,3.975,224.45,1.85,167.36215079129266,874.85,17497.0,97b25faf822b93fdbf72da1d594c0288,49.28117,-123.104419,Carrall & Hastings,18
53,3.111111111111111,86.55555555555556,1.6666666666666667,261.01164313503665,295.44444444444446,2659.0,6c7fb9043e6df5a4cc50404581a947b9,49.283227,-123.120523,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,27
54,4.0625,165.5,1.875,182.2290629732498,673.4375,5387.5,30bf49544b1c864688b78172d42cca5e,49.299292,-123.130281,Stanley Park - Vancouver Aquarium,16
55,4.0,214.9,1.9,160.01656922849617,884.65,8846.5,9f63cebac9073eac3e90be2b9a91b02b,49.29534,-123.150433,Stanley Park - Second Beach North,16
56,4.0,100.0,2.0,139.3810855147754,400.0,400.0,9aa325529164ec68b4d96c4f1c4fc7c1,49.294318,-123.148808,Stanley Park - Second Beach South,18
57,3.625,144.41666666666666,1.9166666666666667,154.87476663526894,544.2083333333334,6530.5,e3d32ad772a5898c3b96c4d23d2cd542,49.298657,-123.121176,Stanley Park - Totem Poles,20
